,Date of Collection,Company Name,Website_URL,Public/Private,Practices,Practices_URL,Services,Services_URL,Solutions,Solutions_URL,Previous Close,52 Week Range,Sector,Industry,Full Time Employees,Market Cap,Fiscal Year Ends,Revenue,EBITDA,Company NPS,Company Glassdoor,MI Summary,Competitive Threat Level,Market Share,Pricing Strategy,Target Market_1,Target Market_2,Channels-to-Market_1 (Social Media),Channels-to-Market_2 (Sales),Channels-to-Market_3 (Promotions/Sponsorship),Market Differentiation (USP),Revenue Trends,Profitability,Growth Rate,Revenue per Employee,Customer Satisfaction,Reviews & Ratings,Customer Complaints,Innovation,Tech Advancements,Patents & Intellectual Property,Emerging Trends,Potential Threats,Long-term Strategy,Recent Activities,Market Responsiveness,Key Executives,Company Culture,Compliance Requirements,Legal Issues/Pending Litigations,Environmental Impact,Social Initiatives
0,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,5G enterprise services,https://www.youtube-nocookie.com/embed/vmbAXyuefY8,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Cognitive network operations,https://www.tcs.com/what-we-do/services/network-solutions-and-services/solution/cognitive-network-operations-telecommunication-network,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Industrialized SD-WAN,https://www.tcs.com/what-we-do/services/network-solutions-and-services/solution/industrialized-sd-wan-solution-network-transformation,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Network planning and engineering,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Network testing and automation,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Next-gen OSS services,https://www.tcs.com/what-we-do/services/network-solutions-and-services/solution/next-gen-oss-services-csp-digital-transformation,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public, Network Solutions and Service,https://www.tcs.com/what-we-do/services/network-solutions-and-services,No Services,No Services URL,Telco cloud and orchestration services,,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Artificial Intelligence,https://www.tcs.com/insights/topics/ai,No Services,No Services URL,Harness LLMs with GenAI agents for effective enterprise use ,https://www.tcs.com/what-we-do/pace-innovation/article/generative-ai-guardrails-secure-llm-usage,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Artificial Intelligence,https://www.tcs.com/insights/topics/ai,No Services,No Services URL,Manufacturing powered by GenAI ,https://www.tcs.com/what-we-do/industries/manufacturing/white-paper/genai-manufacturing-innovation-enterprise-transformation,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,2024-05-22,Tata Consultancy Services Limited,https://www.and.digital/,Public,Artificial Intelligence,https://www.tcs.com/insights/topics/ai,No Services,No Services URL,"Tap into GenAI for banking, financial services and insurance",https://www.tcs.com/what-we-do/industries/banking/white-paper/generative-ai-finance-insurance-industry,3821.65,3156.2 - 4254.45,Technology,Information Technology Services,601546,13862169477120,N/A,2408930082816,625799987200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
