,company_name,company_url,status,ticker,scraper
0,11:FS,https://www.11fs.com/,Private,,scraper_11fs
1,AND Digital,https://www.and.digital/,Private,,scraper_digital
2,Accenture PLC,https://www.accenture.com/gb-en,Public,ACN,scraper_accenture
3,Adatis,https://adatis.co.uk/,Private,,scraper_adatis
4,Afiniti,to complete,Private,,to complete
5,Airwalk Reply,https://airwalkreply.com/,Private,,scraper_airwalkreply
6,Alchemmy,https://alchemmy.com/,Private,,scraper_alchemmy
7,Alix Partners,https://www.alixpartners.com,Private,,scraper_alix
8,Apexon,https://www.apexon.com/,Private,,scraper_apexon
9,Arthur D Little,https://www.adlittle.com,Private,,scraper_arthur
10,Atos Group,https://atos.net,Private,,scraper_atos
11,Atos SE,https://atos.net/en/,Public,ATO.PA,scraper_atosse
12,Avanade Inc.,https://www.avanade.com,Private,,scraper_avanade
13,BJSS,https://www.bjss.com/,Private,,scraper_bjss
14,BMC,https://www.bmc.com,Private,,scraper_bmc
15,Bain & Company,https://www.bain.com,Private,,scraper_bain
16,Baringa,https://www.baringa.com/en/,Private,,scraper_baringa
17,BetterGov,https://www.bettergov.co.uk/,Private,,scraper_bettergov
18,Billigence,https://billigence.com,Private,,scraper_billigence
19,Blueberry Consultants Ltd.,https://www.bbconsult.co.uk/,Private,,scraper_blueberry
20,Booz Allen Hamilton Holding Corp,https://www.boozallen.com,Public,BAH,scraper_boozallen
21,Boston Consulting Group,https://www.bcg.com,Private,,scraper_boston
22,Box UK,https://www.boxuk.com,Private,,scraper_box
23,Broadstones Tech,https://broadstones.tech,Private,,scraper_broadstones
24,CGI,https://www.cgi.com/,Private,,scraper_cgi
25,CIGNITI Technologies Ltd,https://www.cigniti.com,Public,CIGNITITEC.BO,scraper_cigniti
26,Cambridge Consultants Limited,https://www.cambridgeconsultants.com/,Private,,scraper_cambridge
27,Cambridge Design Partnership,https://www.cambridge-design.com/,Private,,scraper_cambridgedesign
28,Canon Inc.,https://www.canon.co.uk,Public,7751.T,scraper_canon
29,Capco Limited,https://www.capco.com,Private,,scraper_capco
30,Capgemini SE,https://www.capgemini.com/,Public,CAP.PA,scraper_capgemini
31,Capita,https://www.capita.com,Public,CPI.L,scraper_capita
32,Centric Consulting,https://centricconsulting.com/,Private,,scraper_centric
33,Clarasys,https://www.clarasys.com/,Private,,scraper_clarasys
34,Cognifide,https://www.vml.com,Private,,scraper_vml
35,Cognizant Technology Solutions Corporation,https://www.cognizant.com,Public,CTSH,scraper_cognizant
36,Contino Ltd.,https://www.contino.io,Private,,scraper_contino
37,Credera,https://www.credera.com/en-gb,Private,,scraper_credera
38,Credo Consulting,https://www.credoconsultancy.co.uk/,Private,,scraper_credo
39,DXC Technology,https://dxc.com/uk/en,Public,DXC,scraper_dxc
40,Deloitte,https://www.deloitte.com/global/en.html,Private,,to complete
41,Designit,https://www.designit.com/services,Private,,scraper_designit
42,Digital Futures,https://digitalfutures.com/,Private,,scraper_digitalfutures
43,Digital Workplace Group,https://digitalworkplacegroup.com/,Private,,scraper_digitalworkplace
44,Dufrain,https://www.dufrain.co.uk/,Private,,scraper_dufrain
45,EPAM Systems Inc,https://www.epam.com/,Public,EPAM,scraper_epam
46,EY,https://www.ey.com/en_uk,Private,,scraper_ey
47,Eclature Technologies,https://eclature.com/,Private,,scraper_eclature
48,Eden McCallum,https://edenmccallum.com/,Private,,scraper_edenmccallum
49,Edge Testing Solutions,https://www.resillion.com/,Private,,scraper_resillion
50,Elixirr International Plc,https://www.elixirr.com,Public,ELIX.L,scraper_elixirr
51,Enfuse Group,https://www.enfusegroup.com/,Private,,scraper_enfuse
52,Equal Experts,https://www.equalexperts.com,Private,,scraper_equalexperts
53,FDM Group (Holdings) Ltd,https://www.fdmgroup.com/,Public,FDM.L,scraper_fdmgroup
54,Faculty AI,to complete,Private,,to complete
55,Fjord Consulting Group,https://fjordconsultinggroup.com,Private,,scraper_fjord
56,Frog Design,to complete,Private,,to complete
57,Frontier Economics,https://www.frontier-economics.com/uk/en/home/,Private,,scraper_frontiereconomics
58,GeekTek,to complete,Private,,to complete
