Status,Date of Collection,Company Name,Website_URL,Public/Private,Practices,Practices_URL,Services,Services_URL,Solutions,Solutions_URL,Previous Close,52 Week Range,Sector,Industry,Full Time Employees,Market Cap,Fiscal Year Ends,Revenue,EBITDA,Company NPS,Company Glassdoor,MI Summary,Competitive Threat Level,Market Share,Pricing Strategy,Target Market_1,Target Market_2,Channels-to-Market_1 (Social Media),Channels-to-Market_2 (Sales),Channels-to-Market_3 (Promotions/Sponsorship),Market Differentiation (USP),Revenue Trends,Profitability,Growth Rate,Revenue per Employee,Customer Satisfaction,Reviews & Ratings,Customer Complaints,Innovation,Tech Advancements,Patents & Intellectual Property,Emerging Trends,Potential Threats,Long-term Strategy,Recent Activities,Market Responsiveness,Key Executives,Company Culture,Compliance Requirements,Legal Issues/Pending Litigations,Environmental Impact,Social Initiatives
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Adaptive trials,https://www.frontier-economics.com/solutions/consulting/asset-development/adaptive-trials,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Cardiac Safety Solutions,https://www.frontier-economics.com/solutions/cardiac-safety-solutions,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Clinical & Scientific Operations,https://www.frontier-economics.com/solutions/clinical-and-scientific-operations,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Commercial Positioning,https://www.frontier-economics.com/solutions/consulting/commercial-positioning-consulting,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Consulting,https://www.frontier-economics.com/solutions/consulting,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Decentralised clinical trials,https://www.frontier-economics.com/solutions/decentralised-clinical-trials,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Early Clinical,https://www.frontier-economics.com/solutions/early-phase,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Laboratories,https://www.frontier-economics.com/solutions/laboratories,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Language Services,https://www.frontier-economics.com/solutions/language-services,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
Added,2024-06-24,Icon PLC,https://www.iconplc.com/,Public,No Practices Data Available,No Practices URL Data Available,No Services Data Available,No Services URL Data Available,Medical Imaging,https://www.frontier-economics.com/solutions/imaging,318.78,221.2 - 344.77,Healthcare,Diagnostics & Research,41150,26240403456,31/12/24,8231984128,1690311040,No Company NPS Data Available,No Company Glassdoor Data Available,No MI Summary Data Available,No Competitive Threat Level Data Available,No Market Share Data Available,No Pricing Strategy Data Available,No Target Market 1 Data Available,No Target Market 2 Data Available,No Channels-to-Market 1 (Social Media) Data Available,No Channels-to-Market 2 (Sales) Data Available,No Channels-to-Market 3 (Promotions/Sponsorship) Data Available,No Market Differentiation (USP) Data Available,No Revenue Trends Data Available,No Profitability Data Available,No Growth Rate Data Available,No Revenue per Employee Data Available,No Customer Satisfaction Data Available,No Reviews & Ratings Data Available,No Customer Complaints Data Available,No Innovation Data Available,No Tech Advancements Data Available,No Patents & Intellectual Property Data Available,No Emerging Trends Data Available,No Potential Threats Data Available,No Long-term Strategy Data Available,No Recent Activities Data Available,No Market Responsiveness Data Available,No Key Executives Data Available,No Company Culture Data Available,No Compliance Requirements Data Available,No Legal Issues/Pending Litigations Data Available,No Environmental Impact Data Available,No Social Initiatives Data Available
