Date Collected ,Company Name                               ,URL                      ,Training Program Duration ,Anecdotal Views of Quality ,Consultant Pricing
2024-06-17     ,AND Digital                                ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Accenture PLC                              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Adatis                                     ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Airwalk Reply                              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Alchemmy                                   ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Apexon                                     ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Arthur D Little                            ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Atos SE                                    ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Avanade Inc.                               ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Baringa                                    ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,BetterGov                                  ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Billigence                                 ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Blueberry Consultants Ltd                  ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,CGI                                        ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Cambridge Consultants Limited              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Cambridge Design Partnership               ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Canon Inc.                                 ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Capco Limited                              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Capgemini SE                               ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Centric Consulting                         ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Clarasys                                   ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Cognifide                                  ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Cognizant Technology Solutions Corporation ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Credera                                    ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Credo Consulting                           ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,DXC Technology                             ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Deloitte                                   ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Digital Futures                            ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Digital Workplace Group                    ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Dufrain                                    ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,EPAM Systems Inc                           ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,EY                                         ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Eden McCallum                              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Edge Testing Solutions                     ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Enfuse Group                               ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,FDM Group (Holdings) Ltd                   ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Fjord Consulting Group                     ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Frontier Economics                         ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Grayce Group Limited                       ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,HCL Technologies Ltd                       ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Hexaware Technologies Ltd                  ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,IQVIA Holdings Inc                         ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Icon PLC                                   ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Infinite Lambda                            ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Infosys Limited                            ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,International Business Machines Corp       ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,JMAN Group                                 ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,KONICA MINOLTA INC                         ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Kearney                                    ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Kubrick Group Limited                      ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Laboratory Corp Of America Holdings        ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,"LockPath, Inc."                           ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,"LogicSource, Inc."                        ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Lovelytics                                 ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,METRICSTREAM INC                           ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Made Tech                                  ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Mason Advisory                             ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Mesh AI                                    ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,MindTree Ltd                               ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Mphasis Ltd                                ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,NexInfo                                    ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,North Highland                             ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,Oliver Wyman                               ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,OpenCredo                                  ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
2024-06-17     ,PA Consulting                              ,To be completed manually ,To be completed manually  ,To be completed manually   ,To be completed manually
