Practises,Practises_url,Expertise_url,Expertise,Solution_url,Solution,company_name,Ticker,Public/Private,Previous Close,52 Week Range,Sector,Industry,Full Time Employees,Market Cap,Fiscal Year Ends,Revenue,EBITDA,Date
Artificial Intelligence,https://www.tcs.com/insights/topics/ai,,,https://www.tcs.com/what-we-do/services/data-and-analytics/solution/implementing-ethical-responsible-ai,Unlock potential with responsible AI,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Artificial Intelligence,https://www.tcs.com/insights/topics/ai,,,https://www.tcs.com/what-we-do/industries/banking/white-paper/generative-ai-finance-insurance-industry,"Tap into GenAI for banking, financial services and insurance",Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Artificial Intelligence,https://www.tcs.com/insights/topics/ai,,,https://www.tcs.com/what-we-do/industries/manufacturing/white-paper/genai-manufacturing-innovation-enterprise-transformation,Manufacturing powered by GenAI ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Artificial Intelligence,https://www.tcs.com/insights/topics/ai,,,https://www.tcs.com/what-we-do/pace-innovation/article/generative-ai-guardrails-secure-llm-usage,Harness LLMs with GenAI agents for effective enterprise use ,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/consulting/solution/cloud-strategy-transformation-consulting,Cloud Strategy and Transformation,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/cloud/aws,TCS and AWS Cloud,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/cloud/google,TCS and Google Cloud,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/cloud/microsoft,TCS and Microsoft Cloud,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cloud,https://www.tcs.com/what-we-do/services/cloud,,,https://www.tcs.com/what-we-do/services/cloud/enterprise,Enterprise Cloud,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
Cognitive Business Operations,https://www.tcs.com/what-we-do/services/cognitive-business-operations,,,https://www.tcs.com/what-we-do/services/cognitive-business-operations/solution/digital-finance-services-solutions-accounting,Finance: Powering strategic financial leadership,Tata Consultancy Services Limited,TCS.BO,Public,3821.65,,Technology,Information Technology Services,601546,13862169477120,,2408930082816,625799987200,2024-05-22
