,company_name,company_url,status,ticker,scraper
0,Capgemini SE,https://www.capgemini.com/,Public,CAP.PA,scraper_capgemini
1,AND Digital,https://www.and.digital/,Private,,scraper_digital
2,Dufrain,https://www.dufrain.co.uk/,Private,,scraper_dufrain
3,FDM Group (Holdings) Ltd,https://www.fdmgroup.com/,Public,FDM.L,scraper_fdmgroup
4,Slalom,https://www.slalom.com/,Private,,scraper_slalom
5,Tata Consultancy Services Limited,https://www.tcs.com,Public,TCS.BO,scraper_tcs
6,Wipro Limited,https://www.wipro.com/,Public,WIT,scraper_wipro
7,Infosys Limited,https://www.infosys.com/,Public,INFY,scraper_infosys
8,Credera,https://www.credera.com/en-gb,Private,,scraper_credera
9,Infinite Lambda,https://infinitelambda.com,Private,,scraper_infinitelambda
10,Mesh AI,https://www.mesh-ai.com/,Private,,scraper_meshai
11,Sparta Global,https://www.spartaglobal.com,Private,,scraper_spartaglobal
12,Ten10,https://ten10.com,Private,,scraper_ten10
13,Fjord Consulting Group,https://fjordconsultinggroup.com,Private,,scraper_fjord
14,BetterGov,https://www.bettergov.co.uk/,Private,,scraper_bettergov
15,Cambridge Consultants Limited,https://www.cambridgeconsultants.com/,Private,,scraper_cambridge
16,Capco Limited,https://www.capco.com,Private,,scraper_capco
17,Cognizant Technology Solutions Corporation,https://www.cognizant.com,Public,CTSH,scraper_cognizant
18,IQVIA Holdings Inc,https://jobs.iqvia.com/en,Public,IQV,scraper_iqvia
19,Kubrick Group Limited,https://www.kubrickgroup.com,Private,,scraper_kubrick
