practises,services
Application Services,Application modernization
Application Services,Application management
Artificial Intelligence,Generative AI
Artificial Intelligence,Data management
Artificial Intelligence,Data modernization
Artificial Intelligence,Business intelligence and visualization
Artificial Intelligence,Artificial intelligence
Artificial Intelligence,Data strategy
Cloud Solutions,Cloud advisory
Cloud Solutions,Cloud DevOps
Cloud Solutions,Cloud foundation
Cloud Solutions,Cloud management
Cloud Solutions,Cloud migration
Cloud Solutions,Cloud optimization
Cloud Solutions,Hybrid cloud
Cloud Solutions,Infrastructure managed services
Digital Strategy,Insight to transformation
Digital Strategy,Managed innovation
Digital Strategy,Workforce transformation
Digital Strategy,Change adoption
Digital Strategy,Transformation enablement
Enterprise Platform Services,Customer service transformation
Enterprise Platform Services,Human capital management
Enterprise Platform Services,Digital supply chain transformation
Enterprise Platform Services,Finance/ERP/EPM
Enterprise Platform Services,Enterprise AI
Enterprise Platform Services,Enterprise platform integration
Enterprise Platform Services,Digital integration
Enterprise Platform Services,Intelligent BPM
Enterprise Platform Services,Oracle
Enterprise Platform Services,Pega
Enterprise Platform Services,Salesforce
Enterprise Platform Services,SAP
Enterprise Platform Services,Workday
Experience,Customer and employee experiences
Experience,Content and marketing services
Experience,Omnichannel commerce
Infrastructure Services,Digital Workflow and Experience Services
Infrastructure Services,Digital Workplace Services
Infrastructure Services,Edge Services
Infrastructure Services,Enterprise Service Management
Infrastructure Services,Hybrid Cloud
Intelligent Process Automation,Cognizant advisory services
Intelligent Process Automation,Cognizant solutions
Intelligent Process Automation,Cognizant implementation services
Intelligent Process Automation,Cognizant managed services
Internet of Things,IoT Products
Internet of Things,IoT Operations
Internet of Things,IoT Mobility
Internet of Things,IoT Spaces
Internet of Things,Cognizant Sustainability Services
Quality Engineering & Assurance,Quality & compliance
Quality Engineering & Assurance,Modernization assurance
Quality Engineering & Assurance,Testing automation
Quality Engineering & Assurance,Experience assurance
Security,Threat and Vulnerability Management
Security,Identity and Access Management
Security,Data Security
Security,"Governance, Risk and Compliance"
Security,Cloud Security
Software Engineering,Software delivery modernization
Software Engineering,Product engineering
Software Engineering,Platform engineering
Sustainability Services,Net zero pathways
Sustainability Services,Sustainability and ESG reporting
Sustainability Services,Sustainable products and circular economy
Sustainability Services,Sustainable manufacturing and operations
Sustainability Services,Sustainable supply chains
